id,name,latitude,longitude
3680.04,E New York Ave & Troy Ave,40.66227,-73.93762
3688.06,Brooklyn Ave & Lefferts Ave,40.662564,-73.945565
3696.05,Rogers Ave & Sterling St,40.663061,-73.953874
3699.07,17 St & 5 Ave,40.663493,-73.991007
3704.01,Washington Ave & Empire Blvd,40.66314,-73.960569
3704.04,Flatbush Ave & Ocean Ave,40.663657,-73.963014
3707.01,23 St & 3 Ave,40.662611,-73.998623
3710.07,Lefferts Ave & Schenectady Ave,40.66343,-73.93472
3719.02,Lefferts Ave & Albany Ave,40.66288,-73.94019
3722.04,Prospect Park West & 8 St,40.665146,-73.976376
3728.04,Empire Blvd & New York Ave,40.66403,-73.94769
3728.05,New York Ave & Montgomery St,40.66509,-73.94824
3731.11,14 St & 7 Ave,40.663779,-73.983968
3736.03,Bedford Ave & Montgomery St,40.665816,-73.956934
3739.06,4 Ave & 17 St,40.665507,-73.993037
3742.11,Carroll St & Rochester Ave,40.66598,-73.9284
3751.05,Crown St & Troy Ave,40.66559,-73.93712
3759.07,Kingston Ave & Montgomery St,40.66481,-73.94269
3762.08,10 St & 7 Ave,40.666207,-73.981998
3768.02,Crown St & Rogers Ave,40.66639,-73.95346
3771.06,14 St & 5 Ave,40.666287,-73.98895
3776.05,Montgomery St & Franklin Ave,40.666439,-73.960556
3776.10,McKeever Pl & Sullivan Pl,40.664323,-73.959217
3779.02,3 Ave & 17 St,40.666168,-73.995549
3782.03,Carroll St & Utica Ave,40.66619,-73.93162
3791.02,Albany Ave & Carroll St,40.6667,-73.93972
3803.05,6 Ave & 12 St,40.666318,-73.985461
3803.09,6 Ave & 9 St,40.668127,-73.983776
3811.05,16 St & 4 Ave,40.666197,-73.992466
3814.01,Buffalo Ave & E New York Ave,40.66591,-73.92602
3822.08,Schenectady Ave & President St,40.66732,-73.93398
3831.03,Kingston Ave & Carroll St,40.66688,-73.9425
3834.10,6 St & 7 Ave,40.668662,-73.97988
3839.02,President St & Nostrand Ave,40.66811,-73.9505
3842.08,10 St & 5 Ave,40.668627,-73.987
3845.05,Eastern Pkwy & Ralph Ave,40.66852,-73.92284
3847.04,Carroll St & Franklin Ave,40.667941,-73.9588
3850.03,3 Ave & 14 St,40.668545,-73.993332
3853.02,Eastern Pkwy & Rochester Ave,40.66846,-73.9282
3856.03,Flatbush Ave & Eastern Pkwy,40.668757,-73.966438
3862.07,Eastern Pkwy & Troy Ave,40.66929,-73.93679
3865.05,3 St & Prospect Park West,40.668132,-73.973638
3871.02,Eastern Pkwy & Brooklyn Ave,40.66939,-73.94514
3874.01,5 St & 6 Ave,40.670483,-73.982089
